Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Attendance,Half-time Home Goals,Half-time Away Goals,RoundID,MatchID,Home Team Initials,Away Team Initials
1994,21 Jun 1994- 12:30,Group D,Foxboro Stadium,Boston,Argentina,4,0,Greece, ,54456.0,2,0,337,3059,Arg,Gre
1994,21 Jun 1994- 19:30,Group D,Cotton Bowl,Dallas,Nigeria,3,0,Bulgaria, ,44132.0,2,0,337,3061,Nga,Bul
1994,21 Jun 1994- 16:00,Group C,Soldier Field,Chicago,Germany,1,1,Spain, ,63113.0,0,1,337,3060,Ger,Esp
1994,22 Jun 1994- 16:00,Group A,Pontiac Silverdome,Detroit,Romania,1,4,Switzerland, ,61428.0,1,1,337,3062,Rou,Sui
1994,22 Jun 1994- 19:30,Group A,Rose Bowl,Los Angeles,USA,2,1,Colombia, ,93869.0,1,0,337,3063,Usa,Col
1994,23 Jun 1994- 16:00,Group E,Giants Stadium,New York/New Jersey,Italy,1,0,Norway, ,74624.0,0,0,337,3064,Ita,Nor
1994,23 Jun 1994- 19:30,Group C,Foxboro Stadium,Boston,Korea Republic,0,0,Bolivia, ,54453.0,0,0,337,3065,Kor,Bol
1994,24 Jun 1994- 12:30,Group E,Citrus Bowl,Orlando,Mexico,2,1,"rn"">Republic of Ireland", ,60790.0,1,0,337,3066,Mex,Irl
1994,24 Jun 1994- 19:30,Group B,Pontiac Silverdome,Detroit,Sweden,3,1,Russia, ,71528.0,1,1,337,3068,Swe,Rus
1994,24 Jun 1994- 16:00,Group B,Stanford Stadium,San Francisco,Brazil,3,0,Cameroon, ,83401.0,1,0,337,3067,Bra,Cmr
1994,25 Jun 1994- 12:30,Group F,Citrus Bowl,Orlando,Belgium,1,0,Netherlands, ,62387.0,0,0,337,3069,Bel,Ned
1994,25 Jun 1994- 12:30,Group F,Giants Stadium,New York/New Jersey,Saudi Arabia,2,1,Morocco, ,76322.0,2,1,337,3070,Ksa,Mar
1994,25 Jun 1994- 16:00,Group D,Foxboro Stadium,Boston,Argentina,2,1,Nigeria, ,54453.0,2,1,337,3071,Arg,Nga
1994,26 Jun 1994- 12:30,Group D,Soldier Field,Chicago,Bulgaria,4,0,Greece, ,63160.0,1,0,337,3072,Bul,Gre
1994,26 Jun 1994- 16:00,Group A,Rose Bowl,Los Angeles,USA,0,1,Romania, ,93869.0,0,1,337,3073,Usa,Rou
1994,26 Jun 1994- 16:00,Group A,Stanford Stadium,San Francisco,Switzerland,0,2,Colombia, ,83401.0,0,1,337,3074,Sui,Col
1994,27 Jun 1994- 16:00,Group C,Cotton Bowl,Dallas,Germany,3,2,Korea Republic, ,63998.0,3,0,337,3076,Ger,Kor
1994,27 Jun 1994- 16:00,Group C,Soldier Field,Chicago,Bolivia,1,3,Spain, ,63089.0,0,1,337,3075,Bol,Esp
1994,28 Jun 1994- 12:30,Group E,Giants Stadium,New York/New Jersey,"rn"">Republic of Ireland",0,0,Norway, ,72404.0,0,0,337,3077,Irl,Nor
1994,28 Jun 1994- 16:00,Group B,Pontiac Silverdome,Detroit,Brazil,1,1,Sweden, ,77217.0,0,1,337,3080,Bra,Swe
1994,28 Jun 1994- 12:30,Group E,RFK Stadium,Washington Dc,Italy,1,1,Mexico, ,52535.0,0,0,337,3078,Ita,Mex
1994,28 Jun 1994- 16:00,Group B,Stanford Stadium,San Francisco,Russia,6,1,Cameroon, ,74914.0,3,0,337,3079,Rus,Cmr
1994,29 Jun 1994- 12:30,Group F,Citrus Bowl,Orlando,Morocco,1,2,Netherlands, ,60578.0,0,1,337,3081,Mar,Ned
1994,29 Jun 1994- 12:30,Group F,RFK Stadium,Washington Dc,Belgium,0,1,Saudi Arabia, ,52959.0,0,1,337,3082,Bel,Ksa
1994,30 Jun 1994- 19:30,Group D,Foxboro Stadium,Boston,Greece,0,2,Nigeria, ,53001.0,0,1,337,3083,Gre,Nga
1994,30 Jun 1994- 19:30,Group D,Cotton Bowl,Dallas,Argentina,0,2,Bulgaria, ,63998.0,0,0,337,3084,Arg,Bul
1994,02 Jul 1994- 12:00,Round of 16,Soldier Field,Chicago,Germany,3,2,Belgium, ,60246.0,3,1,338,3085,Ger,Bel
1994,02 Jul 1994- 16:30,Round of 16,RFK Stadium,Washington Dc,Spain,3,0,Switzerland, ,53121.0,1,0,338,3086,Esp,Sui
1994,03 Jul 1994- 12:00,Round of 16,Cotton Bowl,Dallas,Saudi Arabia,1,3,Sweden, ,60277.0,0,1,338,3087,Ksa,Swe
1994,03 Jul 1994- 13:30,Round of 16,Rose Bowl,Los Angeles,Romania,3,2,Argentina, ,90469.0,2,1,338,3088,Rou,Arg
1994,04 Jul 1994- 12:00,Round of 16,Citrus Bowl,Orlando,Netherlands,2,0,"rn"">Republic of Ireland", ,61355.0,2,0,338,3089,Ned,Irl
1994,04 Jul 1994- 12:30,Round of 16,Stanford Stadium,San Francisco,Brazil,1,0,USA, ,84147.0,0,0,338,3090,Bra,Usa
1994,05 Jul 1994- 13:00,Round of 16,Foxboro Stadium,Boston,Nigeria,1,2,Italy,Italy win after extra time ,54367.0,0,0,338,3091,Nga,Ita
