RoundID,MatchID,Team Initials,Coach Name,Line-up,Shirt Number,Player Name
338,3086,Esp,Clemente Javier (Esp),N,19,Julio Salinas
338,3086,Sui,Roy Hodgson (Eng),N,21,Thomas Wyss
338,3086,Esp,Clemente Javier (Esp),N,22,Julen Lopetegui
338,3086,Sui,Roy Hodgson (Eng),N,22,Martin Brunner
338,3087,Ksa,Solari Jorge (Arg),S,1,Al-Deayea
338,3087,Swe,Svensson Tommy (Swe),S,1,Thomas Ravelli
338,3087,Ksa,Solari Jorge (Arg),S,3,Mohammed Al Khilaiwi
338,3087,Swe,Svensson Tommy (Swe),S,2,Roland Nilsson
338,3087,Ksa,Solari Jorge (Arg),S,4,A. Zubromawi
338,3087,Swe,Svensson Tommy (Swe),S,3,Patrik Andersson
338,3087,Ksa,Solari Jorge (Arg),S,5,A. Madani
338,3087,Swe,Svensson Tommy (Swe),S,4,Joachim Bjorklund
338,3087,Ksa,Solari Jorge (Arg),S,6,F. Amin
338,3087,Swe,Svensson Tommy (Swe),S,5,Roger Ljung
338,3087,Ksa,Solari Jorge (Arg),S,8,Fahad Al Bishi
338,3087,Swe,Svensson Tommy (Swe),S,6,Stefan Schwarz
338,3087,Ksa,Solari Jorge (Arg),S,10,S. Owairan
338,3087,Swe,Svensson Tommy (Swe),S,8,Klas Ingesson
338,3087,Ksa,Solari Jorge (Arg),S,12,S. Al-Jaber
338,3087,Swe,Svensson Tommy (Swe),S,9,Jonas Thern
338,3087,Ksa,Solari Jorge (Arg),S,13,Mohamed Abdeljawad
338,3087,Swe,Svensson Tommy (Swe),S,10,Martin Dahlin
338,3087,Ksa,Solari Jorge (Arg),S,19,H. Saleh
338,3087,Swe,Svensson Tommy (Swe),S,11,Tomas Brolin
338,3087,Ksa,Solari Jorge (Arg),S,20,Hamza Falatah
338,3087,Swe,Svensson Tommy (Swe),S,19,Kennet Andersson
338,3087,Ksa,Solari Jorge (Arg),N,2,Abdullah Al Dosari
338,3087,Swe,Svensson Tommy (Swe),N,7,Henrik Larsson
338,3087,Ksa,Solari Jorge (Arg),N,7,Fahad Al Ghesheyan
338,3087,Swe,Svensson Tommy (Swe),N,12,Lars Eriksson
338,3087,Ksa,Solari Jorge (Arg),N,9,Majed Abdullah
338,3087,Swe,Svensson Tommy (Swe),N,13,Mikael Nilsson
338,3087,Ksa,Solari Jorge (Arg),N,11,Fahad Al Mehalel
338,3087,Swe,Svensson Tommy (Swe),N,14,Pontus Kamark
338,3087,Ksa,Solari Jorge (Arg),N,14,K. Al-Mowalad
338,3087,Swe,Svensson Tommy (Swe),N,15,Teddy Lucic
338,3087,Ksa,Solari Jorge (Arg),N,15,Saleh Al Dawood
338,3087,Swe,Svensson Tommy (Swe),N,16,Anders Limpar
338,3087,Ksa,Solari Jorge (Arg),N,16,Talal Jebrin
338,3087,Swe,Svensson Tommy (Swe),N,17,Stefan Rehn
338,3087,Ksa,Solari Jorge (Arg),N,17,Yasser Al Taifi
338,3087,Swe,Svensson Tommy (Swe),N,18,Hakan Mild
338,3087,Ksa,Solari Jorge (Arg),N,18,Awwad Al Anzi
338,3087,Swe,Svensson Tommy (Swe),N,20,Magnus Erlingmark
338,3087,Ksa,Solari Jorge (Arg),N,21,Hussein Al Sadeq
338,3087,Swe,Svensson Tommy (Swe),N,21,Jesper Blomqvist
338,3087,Ksa,Solari Jorge (Arg),N,22,Ibrahim Al Helwa
338,3087,Swe,Svensson Tommy (Swe),N,22,Magnus Hedman
338,3088,Rou,Iordanescu Anghel (Rou),S,1,Prunea
338,3088,Arg,Basile Alfio (Arg),S,12,Luis Islas
338,3088,Rou,Iordanescu Anghel (Rou),S,2,Petrescu
338,3088,Arg,Basile Alfio (Arg),S,3,Chamot
338,3088,Rou,Iordanescu Anghel (Rou),S,3,Daniel Prodan
338,3088,Arg,Basile Alfio (Arg),S,4,Sensini
338,3088,Rou,Iordanescu Anghel (Rou),S,4,Miodrag Belodedici
338,3088,Arg,Basile Alfio (Arg),S,5,Fernando Redondo
338,3088,Rou,Iordanescu Anghel (Rou),S,5,Ioan Lupescu
338,3088,Arg,Basile Alfio (Arg),S,6,Oscar Ruggeri
338,3088,Rou,Iordanescu Anghel (Rou),S,6,Popescu Gh.
338,3088,Arg,Basile Alfio (Arg),S,8,Jose Basualdo
338,3088,Rou,Iordanescu Anghel (Rou),S,7,Munteanu
338,3088,Arg,Basile Alfio (Arg),S,9,Batistuta
338,3088,Rou,Iordanescu Anghel (Rou),S,10,Hagi
338,3088,Arg,Basile Alfio (Arg),S,13,Fernando Caceres
338,3088,Rou,Iordanescu Anghel (Rou),S,11,Dumitrescu
338,3088,Arg,Basile Alfio (Arg),S,14,Simeone
338,3088,Rou,Iordanescu Anghel (Rou),S,13,Selymes
338,3088,Arg,Basile Alfio (Arg),S,17,Ortega
338,3088,Rou,Iordanescu Anghel (Rou),S,14,Gheorghe Mihali
338,3088,Arg,Basile Alfio (Arg),S,19,Balbo
338,3088,Rou,Iordanescu Anghel (Rou),N,8,Iulian Chirita
338,3088,Arg,Basile Alfio (Arg),N,1,Sergio Goycochea
